"Country Name","Series Name","Employment Ratio","GDP","Gini Coefficient","Annual Inflation","Annual GHG Emissions","Annual PM2.5 Exposure","Natural Disasters","Died","Died per 100K","Died Cancer","Died Cancer per 100K","Died Lower Resp","Died Lower Resp per 100K","Life Expectancy"
"Mexico",2020,53.052,1120832412468.85,0.44595087,3.396834156,862767300,,8,1069958,829.8574064,88954,68.99255459,58879,45.66644133,70.1328
"Mexico",2021,56.489,1313069763986.6,,5.689208477,899521860,,9,1098301,843.1462582,87979,67.53992271,54668,41.96765699,70.2127
"Mexico",2022,57.803,1463323889036.56,0.43454525,7.896276192,952923970,,,,,,,,,
"Mexico",2023,58.715,1788886821046.81,,5.527960873,,,,,,,,,,
"United States",1900,,,,,2325302500,,1,,,,,,,
"United States",1901,,,,,2334977500,,,,,,,,,49.3
"United States",1902,,,,,2364020200,,,,,,,,,50.5
"United States",1903,,,,,2466308400,,3,,,,,,,50.6
"United States",1904,,,,,2456310500,,,,,,,,,49.6
"United States",1905,,,,,2547616300,,,,,,,,,50.3
"United States",1906,,,,,2575815000,,3,,,,,,,50.1
"United States",1907,,,,,2752196000,,,,,,,,,50.2
"United States",1908,,,,,2572691000,,,,,,,,,51.9
"United States",1909,,,,,2693959400,,3,,,,,,,52.8
"United States",1910,,,,,2773611800,,1,,,,,,,51.8
"United States",1911,,,,,2734642000,,,,,,,,,53.4
"United States",1912,,,,,2750762200,,,,,,,,,54.1
"United States",1913,,,,,2838679000,,1,,,,,,,53.5
"United States",1914,,,,,2680223200,,,,,,,,,54.6
"United States",1915,,,,,2683396000,,2,,,,,,,55.1
"United States",1916,,,,,2807828500,,,,,,,,,54.2
"United States",1917,,,,,2957883600,,,,,,,,,54
"United States",1918,,,,,3053670100,,2,,,,,,,47.2
"United States",1919,,,,,2741335800,,1,,,,,,,55.3
"United States",1920,,,,,3035542800,,1,,,,,,,55.4
"United States",1921,,,,,2720794600,,,,,,,,,58.2
"United States",1922,,,,,2729061600,,,,,,,,,58.1
"United States",1923,,,,,3228263000,,,,,,,,,57.5
"United States",1924,,,,,2994283800,,,,,,,,,58.5
"United States",1925,,,,,3078986500,,3,,,,,,,58.5
"United States",1926,,,,,3217967600,,2,,,,,,,57.9
"United States",1927,,,,,3150669800,,2,,,,,,,59.4
"United States",1928,,,,,3102548000,,1,,,,,,,58.3
"United States",1929,,,,,3241983000,,,,,,,,,58.5
"United States",1930,,,,,2975807700,,,,,,,,,59.6
"United States",1931,,,,,2701391000,,,,,,,,,60.3
"United States",1932,,,,,2436255000,,2,,,,,,,61
